TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
107.904000000,0,2.3639,0.209733,0.16146,0.243121,0.0915891,3.72741,0.454688,0.137218,0.0362704,0.293438,0.0423566
107.946666667,0,1.2564,0.206075,0.413755,0.174765,0.250553,3.0406,0.130052,0.966717,0.162454,0,0.581144
107.989333333,0,0.585417,0.189527,1.02232,0.328615,0.596674,2.01649,0.0212731,1.70054,0.245033,0.000349316,0.869994
108.032000000,0,0.40226,0.163608,2.28065,0.368706,0.718306,0.76019,0.0255884,2.35607,0.153557,0.00121348,0.859336
108.074666667,0.0327123,0.150472,0.0505909,2.83776,0.115774,0.189073,0.262938,0.0441375,3.31645,0.101756,0.00168554,1.41337
108.117333333,0.0452638,0.132252,0.139072,2.83957,0,0,0.323446,0.0754639,3.76412,0.118165,0.0028445,2.06868
108.160000000,0.061961,0.107993,0.0797986,2.68062,0,0.00283617,0.35737,0.0828835,3.81616,0.0959983,0.0685477,2.30889
108.202666667,0.0881891,0.00391537,0.0145318,2.44,0,0.00237576,0.471939,0.0888481,3.85258,0.101063,0.209114,2.33746
108.245333333,0.0921613,0.0867542,0,2.62695,0,0,0.587462,0.0701623,3.53485,0.0846846,0.578177,1.99487
108.288000000,0.0756417,0.231888,0,2.84944,0,0,0.749656,0.0800699,3.32267,0.0792541,0.773184,1.32246
108.330666667,0.0152456,0.139479,0,2.82457,0.1942,0,0.607763,0.101823,3.40822,0.0846389,0.805007,1.28811
108.373333333,0.0644304,0.00289825,0.0945639,2.44518,0.21673,0.044824,0.501971,0.105553,3.44505,0.120106,0.0231381,2.20553
108.416000000,0.162604,0,0.135281,2.10323,0.199756,0.0808875,0.819076,0.197013,2.93363,0.0572535,8.37494e-05,2.34424
108.458666667,0.232619,0,0.133396,2.11711,0.181993,0.0747105,0.922176,0.0643137,2.37744,0.0617079,0.00013544,2.52444
108.501333333,0.40933,0,0.11205,2.10965,0.135777,0.0654211,0.844213,0.0282966,2.19118,0.0793696,0.000166624,2.68096
108.544000000,0.592143,0,0.0782011,2.03333,0.023569,2.51422e-05,0.791462,0.0363594,2.32907,0.112183,0.00453319,2.84731
108.586666667,0.580215,0,0,2.15597,0,0,0.677972,0.283479,2.5776,0.146199,0.015941,2.85176
108.629333333,0.430767,0,0,2.81817,0,0.00104081,0.380546,0.59953,2.6788,0.155903,0.038609,2.66943
