TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
208.085333333,0.0442272,0.148356,1.00174,0.180803,0.110579,1.75724,0.389557,0.0561249,0.354057,0.154167,3.12913,0.122746
208.128000000,0,0,1.42476,0.0878446,0,1.73327,0.350742,0.366725,0.596095,0.0657516,3.23408,0.0685576
208.170666667,0,0,1.4008,0.0420727,0,1.70838,0.411176,0.501917,0.504498,0.102763,3.26217,0.0157776
208.213333333,0,0,1.3917,0.0443371,0,1.69296,0.405976,0.546626,0.507844,0.113673,3.21569,0.0107573
208.256000000,0,0,1.41117,0.0394919,0,1.62556,0.374851,0.578545,0.522401,0.114586,3.22024,0.0140703
208.298666667,0,0,1.39823,0.0183657,0.0577076,1.57096,0.32717,0.578261,0.566723,0.10393,3.25328,0.023046
208.341333333,0.177182,0.00016126,1.3224,0.062804,0.164233,1.80441,0,0.188383,0.559509,0.0606469,3.13022,0.17352
208.384000000,0.543461,0.205109,1.43016,0.193364,0.0647376,1.7836,0.119111,0.310376,0.46036,0.00810609,2.43553,0.105216
208.426666667,0.734471,0.249116,1.21029,0.13104,0.309014,1.50703,0.463993,0.364111,0.380831,0.0196616,2.22599,0.181227
208.469333333,0.722824,0.341016,1.07501,0.199808,0.409188,1.17906,0.715322,0.51439,0.365946,0.0151791,2.17465,0.225429
208.512000000,0.823165,0.273842,1.06137,0.243601,0.395905,1.09279,0.808083,0.526637,0.381724,0.0245476,2.13346,0.195222
208.554666667,0.53056,0.122725,1.16325,0.270357,0.225497,1.4119,0.602717,0.49097,0.385347,0.0379033,2.28182,0.178691
208.597333333,0.115185,0,1.437,0.252847,0.00371797,1.65996,0.227,0.370664,0.506794,0.0519394,2.82648,0.172
208.640000000,0.0159598,0.00216238,1.06703,0.12449,0.0766473,1.88928,0.0335955,0.190507,0.560284,0.0887592,3.09918,0.0507654
208.682666667,0.0620515,0.00689765,1.11529,0.144088,0.0857698,1.79449,0.032085,0.272756,0.583384,0.110995,3.01602,0.0557911
208.725333333,0.00269717,0.00668597,1.09074,0.163124,0.0834444,1.52126,0.258294,0.323769,0.598183,0.113834,2.94472,0.0731559
208.768000000,0.00217544,0.00598707,1.07085,0.162981,0.0777891,1.57712,0.211751,0.338796,0.625108,0.113775,3.05636,0.0610439
208.810666667,0,0,1.01855,0.0972985,0.0627875,1.6268,0.120284,0.295839,0.664942,0.109603,3.29027,0.0343834
208.853333333,0,0.0569634,1.1154,0.106846,0.332222,1.76669,0.368504,0.162086,0.468894,0.13498,3.16182,0.118197
208.896000000,0.184462,0.287242,1.06742,0.228939,0.201677,1.76555,0.446212,0.0463143,0.371849,0.116261,2.86011,0.135985
208.938666667,0.380536,0.351769,1.01224,0.236511,0.151722,1.33949,0.686772,0.061007,0.365747,0.185606,2.59169,0.186322
208.981333333,0.682919,0.19481,1.02949,0.166936,0.173603,0.93163,1.12975,0.119553,0.568395,0.350891,2.44359,0.210454
209.024000000,0.404051,0.0170664,1.02703,0.125729,0.290504,1.45185,1.01239,0.125998,0.555644,0.190455,2.55084,0.178876
209.066666667,0.0343252,0,1.00577,0.0377138,0.165208,1.54219,0.860317,0.0440043,0.555165,0.0514064,3.041,0.138318
209.109333333,0.113334,0.000503105,1.03319,0,0.028369,1.57177,0.382217,0.423455,0.647741,0.0734648,3.33806,0.0606119
209.152000000,0.270762,0.00351309,0.918107,0,0.0307102,1.53328,0.339962,0.542071,0.561676,0.111163,3.34352,0.0160456
209.194666667,0.261972,0.00273446,0.895958,0,0.0492041,1.46101,0.355339,0.572305,0.542804,0.128619,3.38153,0.0109254
209.237333333,0.294981,0.000606609,0.89905,0,0.0290895,1.55236,0.393685,0.5727,0.562605,0.118414,3.40633,0.0138624
209.280000000,0.29131,0,0.914569,0,0.0241976,1.5458,0.626911,0.50654,0.636193,0.108712,3.32078,0.0271587
